id,duration,title,channel,id,viewing,user-id,start,duration,start,duration
_0vOaBWk64c,1828,MEDICAL NURSE Role Play: Binaural ASMR Sleep Relaxation,Olivia Kissper,UCtc8gcFs2KXRzpV5iwJA8-w,,1062,0,1828,40,1
,,,,,,,,,73,1
,,,,,,,,,111,1
,,,,,,,,,127,1
,,,,,,,,,131,1
,,,,,,,,,137,1
,,,,,,,,,168,10
,,,,,,,,,187,10
,,,,,,,,,213,2
,,,,,,,,,237,10
,,,,,,,,,271,4
,,,,,,,,,276,2
,,,,,,,,,296,3
,,,,,,,,,302,3
,,,,,,,,,312,26
,,,,,,,,,345,6
,,,,,,,,,352,11
,,,,,,,,,371,2
,,,,,,,,,376,1
,,,,,,,,,378,3
,,,,,,,,,402,1
_Cx0goCqUxE,216,Miss Kitty ASMR PILOT,ASMR : The Silent Meow,UCsqUvyQ7hhkpZMu13if9TPQ,,86,0,216,14,6
,,,,,,,,,21,6
,,,,,,,,,40,7
,,,,,,,,,51,16
,,,,,,,,,85,5
,,,,,,,,,118,8
,,,,,,,,,167,9
,,,,,,,,,182,6
,,,,,,,,,205,5
_erSOqkzjsk,1425,ASMR: Marbles (no talking),voxonaut ASMR,UCjSwioZ3DUT-KH2eZahEEoQ,,1030,0,1425,11,1
,,,,,,,,,18,10
,,,,,,,,,32,8
,,,,,,,,,44,5
_MiwyaTRpxE,1181,Binaural ASMR. Tapping & Scratching (Different Objects),DonnaASMR,UC6a6UhbtA74Dxu-FRs8-e-A,,492,0,1181,23,2
,,,,,,,,,33,2
,,,,,,,,,42,11
,,,,,,,,,55,11
,,,,,,,,,76,3
,,,,,,,,,80,1
,,,,,,,,,82,3
,,,,,,,,,86,2
,,,,,,,,,94,1
,,,,,,,,,96,9
_MR2xEznqtU,1081,inTense Tingles Thursday: Chewing Gum + Hard Candy,fastASMR,UCHiof82PvgZrXFF-BRMvGDg,,269,0,1081,132,1
,,,,,,,,,725,2
,,,,,,,,,740,6
,,,,,,,,,1004,4
,,,,,,,,,1017,2
,,,,,,,,,1026,1
,,,,,,,,,1034,5
,,,,,,,,,1042,3
,,,,,,,,,1050,2
,,,,,,383,0,1081,57,3
,,,,,,,,,67,7
,,,,,,,,,87,1
,,,,,,,,,102,1
,,,,,,,,,698,4
,,,,,,,,,712,3
,,,,,,,,,725,3
,,,,,,,,,750,4
,,,,,,,,,757,2
,,,,,,,,,764,3
,,,,,,,,,1009,3
_nTZ0w-NVm4,523,ASMR Binaural Whisper & Sounds,quietexperiment,UCw94LbXAZmfDFYPe-p_xWrA,,125,0,523,39,3
,,,,,,,,,44,2
,,,,,,,,,47,3
,,,,,,,,,55,2
,,,,,,,,,58,2
,,,,,,,,,61,2
,,,,,,,,,64,2
,,,,,,,,,68,2
,,,,,,,,,71,2
,,,,,,,,,74,2
,,,,,,,,,77,2
,,,,,,,,,80,5
,,,,,,,,,86,3
,,,,,,,,,108,8
,,,,,,,,,121,4
,,,,,,,,,131,5
,,,,,,,,,159,2
,,,,,,,,,174,2
,,,,,,,,,187,2
,,,,,,,,,191,2
,,,,,,,,,199,7
,,,,,,,,,208,4
,,,,,,,,,258,4
,,,,,,,,,309,4
,,,,,,,,,317,4
,,,,,,,,,361,10
,,,,,,,,,429,4
,,,,,,,,,437,5
,,,,,,,,,446,5
,,,,,,,,,456,4
,,,,,,,,,462,1
,,,,,,,,,466,2
,,,,,,,,,473,1
,,,,,,,,,478,6
,,,,,,,,,520,3
,,,,,,1359,164,0,,
,,,,,,1406,0,5,,
,,,,,,,41,40,45,1
,,,,,,,,,56,1
,,,,,,,109,7,112,1
,,,,,,,366,3,,
,,,,,,,335,10,340,1
,,,,,,1406,312,1,,
,,,,,,,319,0,,
,,,,,,1407,0,1,,
,,,,,,,45,28,,
_qQtEvBdYNI,1080,ASMR Mystic Healer Role Play: Part One,ARDRA -asmr-,UCohY7tiYyvdYuUWRzTF1h7Q,,632,0,1080,66,68
,,,,,,,,,137,12
,,,,,,,,,164,14
,,,,,,,,,208,49
,,,,,,,,,261,4
,,,,,,,,,270,34
,,,,,,,,,309,31
,,,,,,649,0,1080,81,1
,,,,,,,,,92,1
,,,,,,,,,104,1
,,,,,,,,,134,3
,,,,,,,,,138,2
,,,,,,,,,150,2
,,,,,,,,,255,3
,,,,,,,,,354,2
,,,,,,,,,358,2
,,,,,,,,,372,2
,,,,,,,,,404,3
,,,,,,,,,548,3
,,,,,,,,,566,1
,,,,,,,,,571,5
,,,,,,,,,646,3
,,,,,,,,,770,1
,,,,,,,,,938,1
,,,,,,,,,962,2
,,,,,,,,,975,2
,,,,,,,,,1062,4
,,,,,,649,0,1080,81,2
,,,,,,,,,357,1
,,,,,,,,,522,3
,,,,,,,,,529,2
,,,,,,,,,968,2
,,,,,,,,,976,1
,,,,,,827,0,1080,116,2
,,,,,,,,,123,1
,,,,,,,,,128,1
,,,,,,,,,130,1
,,,,,,,,,132,1
,,,,,,,,,136,1
,,,,,,,,,138,2
,,,,,,,,,144,2
,,,,,,,,,147,2
,,,,,,,,,150,2
,,,,,,,,,166,1
,,,,,,,,,211,1
,,,,,,,,,214,1
,,,,,,,,,217,1
,,,,,,,,,219,1
,,,,,,,,,222,1
,,,,,,,,,224,1
,,,,,,833,0,1080,164,1
,,,,,,,,,181,1
,,,,,,295,0,1080,2,1
,,,,,,,,,15,97
,,,,,,,,,113,48
,,,,,,,,,164,132
,,,,,,649,0,1080,93,3
,,,,,,,,,105,2
,,,,,,,,,136,2
,,,,,,,,,150,3
,,,,,,,,,332,1
,,,,,,,,,549,2
,,,,,,649,0,1080,87,1
,,,,,,,,,93,3
,,,,,,,,,104,3
,,,,,,,,,110,2
,,,,,,,,,134,2
,,,,,,,,,138,1
,,,,,,,,,145,1
,,,,,,,,,150,3
,,,,,,,,,186,3
,,,,,,,,,357,1
,,,,,,,,,365,1
,,,,,,1303,0,80,,
